date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:30	356326/356326	---M--	200	added ('OK')	image/png	etag:%2256fe6-5361ca4b71780%22	https://pixfort.com/items/1/images/startup/image-2.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/startup/image-2.png	(from https://pixfort.com/items/1/css/main.css)
10:22:30	36792/36792	---M--	200	added ('OK')	image/png	etag:%228fb8-53529ab92a900%22	https://pixfort.com/items/1/images/saas/bg-intro.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/saas/bg-intro.png	(from https://pixfort.com/items/1/css/main.css)
10:22:30	202841/202841	---M--	200	added ('OK')	image/jpeg	etag:%2231859-535835cd4ef80%22	https://pixfort.com/items/1/images/product/bg-video-product.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/product/bg-video-product.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:31	299185/299185	---M--	200	added ('OK')	image/jpeg	etag:%22490b1-556c02e4c1180%22	https://pixfort.com/items/1/images/real_estate/bg-highlight-left.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/real_estate/bg-highlight-left.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:31	128834/128834	---M--	200	added ('OK')	image/jpeg	etag:%221f742-53051f8f763c0%22	https://pixfort.com/items/1/images/agency/bg-intro-agency.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/agency/bg-intro-agency.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:31	160998/160998	---M--	200	added ('OK')	image/png	etag:%22274e6-5317eeb6d4340%22	https://pixfort.com/items/1/images/agency/image-box-1.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/agency/image-box-1.png	(from https://pixfort.com/items/1/css/main.css)
10:22:31	135893/135893	---M--	200	added ('OK')	image/png	etag:%22212d5-5317ef1af6f80%22	https://pixfort.com/items/1/images/agency/image-box-2.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/agency/image-box-2.png	(from https://pixfort.com/items/1/css/main.css)
10:22:31	159337/159337	---M--	200	added ('OK')	image/png	etag:%2226e69-5317ef6c06ec0%22	https://pixfort.com/items/1/images/agency/image-box-3.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/agency/image-box-3.png	(from https://pixfort.com/items/1/css/main.css)
10:22:32	109537/109537	---M--	200	added ('OK')	image/jpeg	etag:%221abe1-556c02e4c1180%22	https://pixfort.com/items/1/images/showcase/bg-highlight-left.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/showcase/bg-highlight-left.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:32	352358/352358	---M--	200	added ('OK')	image/jpeg	etag:%2256066-535e7415ec280%22	https://pixfort.com/items/1/images/showcase/bg-intro.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/showcase/bg-intro.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:32	93715/93715	---M--	200	added ('OK')	image/jpeg	etag:%2216e13-556c02e4c1180%22	https://pixfort.com/items/1/images/showcase/bg-highlight-right.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/showcase/bg-highlight-right.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:32	93391/93391	---M--	200	added ('OK')	image/jpeg	etag:%2216ccf-52cd8ea2e1540%22	https://pixfort.com/items/1/images/corporate/bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/corporate/bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:33	148826/148826	---M--	200	added ('OK')	image/jpeg	etag:%222455a-52f101c84ca00%22	https://pixfort.com/items/1/images/corporate/bg-highlight-right.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/corporate/bg-highlight-right.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:33	134361/134361	---M--	200	added ('OK')	image/jpeg	etag:%2220cd9-52fd653622100%22	https://pixfort.com/items/1/images/business/bg-intro.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/business/bg-intro.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:33	107184/107184	---M--	200	added ('OK')	image/jpeg	etag:%221a2b0-53073cb13d480%22	https://pixfort.com/items/1/images/business/video-section-bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/business/video-section-bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:33	44864/44864	---M--	200	added ('OK')	image/png	etag:%22af40-52f7198dd4080%22	https://pixfort.com/items/1/images/seo/seo-intro-bg.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/seo/seo-intro-bg.png	(from https://pixfort.com/items/1/css/main.css)
10:22:34	261671/261671	---M--	200	added ('OK')	image/jpeg	etag:%223fe27-535590a9d5d80%22	https://pixfort.com/items/1/images/medical/bg-intro.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/medical/bg-intro.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:34	389749/389749	---M--	200	added ('OK')	image/png	etag:%225f275-5351f5356a980%22	https://pixfort.com/items/1/images/shop/shop-intro-image.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/shop/shop-intro-image.png	(from https://pixfort.com/items/1/css/main.css)
10:22:34	122458/122458	---M--	200	added ('OK')	image/jpeg	etag:%221de5a-52fd69773aa80%22	https://pixfort.com/items/1/images/creative/bg-intro-creative.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/creative/bg-intro-creative.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:35	169829/169829	---M--	200	added ('OK')	image/jpeg	etag:%2229765-536d9d9d56f80%22	https://pixfort.com/items/1/images/creative/bg-clients-section.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/creative/bg-clients-section.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:35	240665/240665	---M--	200	added ('OK')	image/jpeg	etag:%223ac19-534882a188580%22	https://pixfort.com/items/1/images/creative/bg-video-section.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/creative/bg-video-section.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:35	26260/26260	---M--	200	added ('OK')	image/png	etag:%226694-533e8bc87d100%22	https://pixfort.com/items/1/images/car_rental/car-rental-intro-bg.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/car_rental/car-rental-intro-bg.png	(from https://pixfort.com/items/1/css/main.css)
10:22:36	719688/719688	---M--	200	added ('OK')	image/jpeg	etag:%22afb48-535cfc9946000%22	https://pixfort.com/items/1/images/sport/intro-bg-stade.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/sport/intro-bg-stade.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:36	345039/345039	---M--	200	added ('OK')	image/jpeg	etag:%22543cf-52318d1d2e580%22	https://pixfort.com/items/1/images/restaurant/intro-bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/restaurant/intro-bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:36	189762/189762	---M--	200	added ('OK')	image/jpeg	etag:%222e542-554149c01dc40%22	https://pixfort.com/items/1/images/restaurant/highlight-bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/restaurant/highlight-bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:36	174618/174618	---M--	200	added ('OK')	image/jpeg	etag:%222aa1a-536c099d44780%22	https://pixfort.com/items/1/images/sport/form-section-bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/sport/form-section-bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:36	337404/337404	---M--	200	added ('OK')	image/jpeg	etag:%22525fc-530b0792e2d40%22	https://pixfort.com/items/1/images/software/intro-bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/software/intro-bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:37	505856/505856	---M--	200	added ('OK')	image/jpeg	etag:%227b800-533ee30f2ba00%22	https://pixfort.com/items/1/images/car_rental/bg-highlight-left.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/car_rental/bg-highlight-left.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:37	420448/420448	---M--	200	added ('OK')	image/jpeg	etag:%2266a60-53696a2b02380%22	https://pixfort.com/items/1/images/travel/intro-bg-3.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/travel/intro-bg-3.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:37	220204/220204	---M--	200	added ('OK')	image/jpeg	etag:%2235c2c-5311b5e81dbc0%22	https://pixfort.com/items/1/images/ebook/intro-bg-ebook.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/ebook/intro-bg-ebook.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:37	193711/193711	---M--	200	added ('OK')	image/jpeg	etag:%222f4af-535d35a01eb00%22	https://pixfort.com/items/1/images/travel/intro-bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/travel/intro-bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:38	26845/26845	---M--	200	added ('OK')	image/png	etag:%2268dd-52f60715f7340%22	https://pixfort.com/items/1/images/app/pattern-bg.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/app/pattern-bg.png	(from https://pixfort.com/items/1/css/main.css)
10:22:38	230518/230518	---M--	200	added ('OK')	image/jpeg	etag:%2238476-554135a522d00%22	https://pixfort.com/items/1/images/event/intro-bg.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/event/intro-bg.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:38	295921/295921	---M--	200	added ('OK')	image/jpeg	etag:%22483f1-556c02e3ccf40%22	https://pixfort.com/items/1/images/construction/main.jpg	C:/Meus%20Sites/landing/pixfort.com/items/1/images/construction/main.jpg	(from https://pixfort.com/items/1/css/main.css)
10:22:38	415247/415247	---M--	200	added ('OK')	image/png	etag:%226560f-5341a3aeda480%22	https://pixfort.com/items/1/images/elegant/intro-bg.png	C:/Meus%20Sites/landing/pixfort.com/items/1/images/elegant/intro-bg.png	(from https://pixfort.com/items/1/css/main.css)
